iter	RMSE
0	3223.660403
1	3054.178622
2	2890.782706
3	2737.446347
4	2590.162873
5	2455.703805
6	2330.800893
7	2208.335014
8	2093.947807
9	1987.798919
10	1886.341069
11	1793.900064
12	1702.784494
13	1617.751387
14	1538.925107
15	1464.149046
16	1394.024883
17	1328.033631
18	1265.374576
19	1205.434974
20	1152.371187
21	1101.261008
22	1052.274856
23	1006.67257
24	962.8318968
25	922.1425094
26	884.9578829
27	848.9204849
28	817.0449953
29	784.7701071
30	756.1001378
31	729.3610101
32	703.5025737
33	678.135532
34	654.8113862
35	633.0270221
36	613.2123513
37	593.8014343
38	577.0365688
39	560.2680201
40	544.5086519
41	529.4930181
42	514.7109965
43	502.5311887
44	490.4074576
45	479.0065363
46	467.2848932
47	456.4664085
48	446.9060666
49	437.3855288
50	429.2319035
51	422.3973377
52	415.8152875
53	414.3743407
54	407.7089116
55	402.2238172
56	396.5780401
57	395.2411975
58	393.9235598
59	392.6381984
60	387.7194836
61	386.4948625
62	385.303317
63	384.1286668
64	382.8851099
65	381.674081
66	380.5874762
67	375.9225036
68	370.8119184
69	369.8110145
70	368.7151573
71	367.7659229
72	366.8412741
73	365.9328978
74	362.0708373
75	357.953415
76	357.1018354
77	356.2769522
78	353.4446072
79	352.6595432
80	351.793118
81	351.05135
82	347.6443042
83	344.2759763
84	343.5128803
85	342.8505948
86	340.4222424
87	339.7192917
88	337.0380452
89	336.3790046
90	335.7887512
91	335.2153177
92	334.6370131
93	334.0850618
94	332.6837354
95	332.1659662
96	331.6649195
97	329.7595061
98	329.2681847
99	328.790631
100	327.5095301
101	326.2574526
102	324.1024077
103	321.112289
104	320.7090701
105	320.3120306
106	319.0729651
107	317.5568439
108	317.1342155
109	316.7786128
110	315.1726981
111	314.7732121
112	313.1149115
113	312.7975
114	312.440505
115	312.1339995
116	311.4876305
117	310.5911984
118	309.0012074
119	308.687646
120	306.5745464
121	306.2714111
122	305.5015453
123	305.2556139
124	305.0405533
125	304.2955733
126	302.9851489
127	302.7250361
128	301.9268345
129	301.0283179
130	299.9693114
131	298.7904947
132	298.5658094
133	298.2590102
134	296.4615872
135	295.6557094
136	293.962511
137	293.79602
138	293.632772
139	292.7293608
140	292.1082042
141	291.9279677
142	291.6862267
143	291.5433279
144	290.7383245
145	290.0131632
146	289.8618612
147	288.8992677
148	287.6233353
149	287.4847471
150	287.1608819
151	286.4347313
152	285.6727176
153	285.3487666
154	285.2268781
155	284.5691667
156	284.0020644
157	283.9050984
158	283.8126112
159	282.9690965
160	282.2779093
161	281.7268944
162	280.829594
163	279.79042
164	279.2204166
165	279.1300044
166	278.1243818
167	277.8375286
168	277.7157357
169	277.6474813
170	277.5809668
171	277.2456553
172	276.573529
