iter	Passed	Remaining
0	4	4024
1	7	3543
2	10	3354
3	13	3265
4	16	3195
5	19	3149
6	21	3100
7	24	3064
8	27	3021
9	30	2995
10	33	2973
11	35	2949
12	38	2929
13	41	2913
14	44	2914
15	47	2904
16	50	2891
17	52	2878
18	55	2865
19	58	2853
20	61	2850
21	63	2840
22	66	2833
23	69	2831
24	72	2830
25	75	2841
26	78	2841
27	81	2837
28	84	2836
29	87	2839
30	90	2836
31	93	2835
32	96	2830
33	99	2833
34	102	2835
35	105	2834
36	108	2835
37	111	2832
38	114	2829
39	117	2825
40	120	2818
41	123	2817
42	126	2815
43	129	2811
44	132	2810
45	135	2809
46	138	2806
47	141	2805
48	144	2805
49	147	2802
50	150	2799
51	153	2796
52	156	2794
53	158	2779
54	161	2777
55	164	2774
56	167	2778
57	169	2757
58	172	2747
59	175	2744
60	178	2741
61	181	2738
62	183	2734
63	186	2729
64	189	2726
65	192	2721
66	194	2707
67	197	2704
68	200	2702
69	202	2685
70	205	2685
71	207	2680
72	211	2687
73	214	2687
74	220	2720
75	229	2784
76	232	2789
77	236	2797
78	242	2827
79	246	2835
80	250	2845
81	255	2859
82	260	2881
83	264	2889
84	268	2889
85	270	2878
86	276	2901
87	280	2906
88	284	2913
89	289	2922
90	291	2916
91	294	2905
92	297	2905
93	301	2907
94	305	2910
95	309	2914
96	313	2918
97	317	2924
98	321	2930
99	325	2925
100	328	2925
101	332	2924
102	335	2923
103	338	2918
104	340	2903
105	342	2888
106	345	2881
107	347	2873
108	350	2866
109	353	2857
110	356	2851
111	358	2843
112	361	2836
113	363	2821
114	365	2813
115	367	2803
116	370	2796
117	373	2790
118	376	2784
119	378	2774
120	381	2769
121	383	2762
122	386	2755
123	388	2745
124	390	2733
125	393	2726
126	395	2720
127	398	2714
128	401	2707
129	403	2702
130	406	2696
131	409	2691
132	412	2686
133	414	2680
134	417	2674
135	420	2669
136	423	2664
137	424	2654
138	426	2644
139	429	2639
140	432	2633
141	434	2625
142	437	2619
143	439	2612
144	442	2607
145	444	2602
146	447	2594
147	449	2589
148	452	2585
149	455	2579
150	457	2573
151	460	2568
152	463	2564
153	465	2559
154	468	2554
155	471	2549
156	474	2545
157	476	2540
158	478	2531
159	481	2527
160	484	2522
161	486	2517
162	489	2512
163	492	2508
164	494	2503
165	497	2497
166	499	2492
167	502	2487
168	504	2482
169	507	2475
170	509	2470
171	512	2466
172	515	2465
173	518	2460
174	521	2456
175	523	2452
176	526	2448
177	529	2443
178	531	2439
179	534	2434
180	537	2430
181	539	2426
182	542	2423
183	545	2418
184	547	2412
185	550	2408
186	552	2403
187	555	2398
188	557	2394
189	560	2390
190	563	2386
191	566	2382
192	568	2378
193	571	2372
194	573	2368
195	576	2364
196	579	2360
197	581	2355
198	584	2352
199	586	2345
200	589	2341
201	591	2337
202	594	2334
203	597	2330
204	600	2327
205	603	2325
206	606	2322
207	609	2319
208	612	2316
209	615	2314
210	618	2312
211	621	2309
212	624	2306
213	626	2302
214	629	2298
215	632	2295
216	635	2292
217	638	2290
218	642	2291
219	645	2288
220	649	2289
221	652	2287
222	655	2285
223	659	2286
224	664	2288
225	667	2285
226	670	2284
227	674	2285
228	678	2285
229	681	2282
230	684	2279
231	687	2277
232	693	2282
233	697	2284
234	701	2283
235	704	2282
236	708	2282
237	713	2283
238	716	2280
239	719	2278
240	723	2279
241	728	2280
242	731	2277
243	734	2275
244	737	2273
245	741	2272
246	745	2273
247	748	2270
248	752	2268
249	756	2268
250	760	2268
251	763	2265
252	766	2263
253	770	2263
254	773	2260
255	777	2260
256	780	2257
257	784	2255
258	788	2255
259	792	2256
260	795	2253
261	799	2251
262	803	2251
263	807	2251
264	810	2249
265	813	2245
266	817	2243
267	821	2242
268	825	2242
269	828	2239
270	831	2238
271	835	2237
272	840	2237
273	843	2234
274	846	2232
275	850	2229
276	853	2227
277	857	2226
278	860	2222
279	862	2219
280	865	2215
281	868	2211
282	871	2207
283	874	2203
284	876	2199
285	879	2196
286	882	2192
287	885	2188
288	887	2184
289	890	2180
290	893	2176
291	896	2172
292	898	2169
293	901	2165
294	904	2161
295	907	2157
296	910	2154
297	912	2150
298	915	2146
299	918	2142
300	921	2139
301	924	2135
302	926	2131
303	929	2128
304	932	2124
305	935	2121
306	937	2117
307	940	2113
308	943	2109
309	946	2105
310	948	2101
311	951	2098
312	954	2094
313	957	2090
314	959	2087
315	962	2083
316	965	2080
317	968	2076
318	971	2072
319	973	2069
320	976	2065
321	979	2061
322	982	2058
323	984	2054
324	987	2051
325	990	2047
326	993	2043
327	995	2040
328	998	2036
329	1001	2033
330	1004	2029
331	1007	2026
332	1009	2022
333	1012	2019
334	1015	2015
335	1018	2012
336	1020	2008
337	1023	2005
338	1026	2001
339	1029	1997
340	1031	1994
341	1034	1990
342	1037	1987
343	1040	1983
344	1043	1980
345	1045	1976
346	1048	1973
347	1051	1969
348	1054	1966
349	1056	1962
350	1059	1959
351	1062	1955
352	1065	1952
353	1068	1949
354	1070	1945
355	1073	1941
356	1076	1938
357	1079	1935
358	1081	1931
359	1084	1928
360	1087	1924
361	1090	1921
362	1093	1918
363	1095	1914
364	1098	1911
365	1101	1907
366	1104	1904
367	1107	1901
368	1110	1898
369	1112	1894
370	1115	1891
371	1118	1888
372	1121	1884
373	1123	1881
374	1126	1878
375	1129	1874
376	1132	1871
377	1135	1867
378	1137	1864
379	1140	1861
380	1143	1857
381	1146	1854
382	1148	1850
383	1151	1847
384	1154	1844
385	1157	1840
386	1159	1837
387	1162	1833
388	1165	1830
389	1168	1827
390	1171	1824
391	1173	1820
392	1176	1817
393	1179	1814
394	1182	1811
395	1185	1807
396	1187	1804
397	1190	1800
398	1193	1797
399	1196	1794
400	1198	1790
401	1201	1787
402	1204	1784
403	1207	1781
404	1210	1777
405	1212	1774
406	1215	1771
407	1218	1767
408	1221	1764
409	1224	1761
410	1226	1758
411	1229	1754
412	1232	1751
413	1235	1748
414	1237	1744
415	1240	1741
416	1243	1738
417	1246	1735
418	1248	1731
419	1251	1728
420	1254	1724
421	1256	1721
422	1259	1718
423	1262	1715
424	1265	1712
425	1268	1709
426	1271	1705
427	1274	1702
428	1276	1699
429	1279	1696
430	1282	1692
431	1285	1689
432	1288	1686
433	1290	1683
434	1293	1679
435	1296	1676
436	1298	1673
437	1301	1670
438	1304	1667
439	1307	1663
440	1309	1660
441	1312	1657
442	1315	1653
443	1318	1650
444	1320	1647
445	1323	1644
446	1326	1641
447	1329	1637
448	1332	1634
449	1334	1631
450	1337	1628
451	1340	1624
452	1343	1621
453	1345	1618
454	1348	1615
455	1351	1612
456	1354	1608
457	1357	1605
458	1359	1602
459	1362	1599
460	1365	1596
461	1368	1593
462	1370	1589
463	1373	1586
464	1376	1583
465	1379	1580
466	1381	1577
467	1384	1573
468	1387	1570
469	1389	1567
470	1392	1564
471	1395	1561
472	1398	1557
473	1401	1554
